🔗 MAPEO: KPIs SC LEAD → KPIs COO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Los 15 KPIs directos de la SC Lead alimentan los KPIs del COO con metas idénticas,,,,,
,,,,,
#,KPI SC LEAD,META Q4,KPI COO,META Q4 COO,RELACIÓN
1,Respuesta a Factibilidad,≤2 días,COO-01: Respuesta a Factibilidad,≤2 días,IDÉNTICO
2,Asignación Equipo Post-Selección,≤3 días,COO-02: Asignación Equipo,≤3 días,IDÉNTICO
3,Entrenamientos Pre-SIV,100%,COO-03: Entrenamientos Pre-SIV,100%,IDÉNTICO
4,Checklist Pre-SIV,100%,COO-04: Checklist Pre-SIV,100%,IDÉNTICO
5,SIV → FPI,≤21 días,COO-05: SIV→FPI,≤21 días,IDÉNTICO
7,Enrollment vs Plan,≥85%,COO-06: Enrollment vs Plan,≥85%,IDÉNTICO
8,Screen-Fail Rate,≤28%,COO-07: Screen-Fail Rate,≤28%,IDÉNTICO
9,Retención de Pacientes,≥85%,COO-08: Retención Pacientes,≥85%,IDÉNTICO
13,Resolución de Queries,≤48h,COO-10: Resolución Queries,≤48h,IDÉNTICO
14,eTMF Completeness,≥95%,COO-11: eTMF Completeness,≥95%,IDÉNTICO
15,Desviaciones Críticas/100,≤2,COO-12: Desviaciones Críticas,≤2,IDÉNTICO
18,CAPA Cerradas On-Time,≥95%,COO-13: CAPA On-Time,≥95%,IDÉNTICO
20,Data Entry Post-Visita,≤24h,COO-15: Data Entry,≤24h,IDÉNTICO
22,Action Items Cerrados ≤14d,≥95%,COO-17: AI Cerrados ≤14d,≥95%,IDÉNTICO
23,Action Items Aging >30d,≤1,COO-18: AI Aging >30d,≤1,IDÉNTICO
